vendor_key,kind,url,label,source_sheet,source_rows,source_checksum
ven_5621190c287e,INSTAGRAM,https://www.instagram.com/noodwood_id?igsh=MXRrb293dTdhdTdsaw==,Instagram,List,295,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0c5c0d8d474a,WEBSITE,https://novacolor.id/index.php,Website,List,296,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0c5c0d8d474a,INSTAGRAM,https://www.instagram.com/novacolor_indonesia/,Instagram,List,296,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0c5c0d8d474a,CATALOG,https://drive.google.com/drive/folders/1l0DmHJ2AIAB1N0-q_v7TgXRPNdOgQ0Yf?usp=share_link,Product website/katalog,List,296,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0c5c0d8d474a,CATALOG,https://drive.google.com/drive/folders/10CFKdDGXxq3daF5fVkiu_1l19cYsPW5f?usp=drive_link,Drive/folder katalog,List,296,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_fa8c20379f20,WEBSITE,https://nustonerepublic.com,Website,List,297,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_fa8c20379f20,INSTAGRAM,https://www.instagram.com/nustonerepublic_official/,Instagram,List,297,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_dba9a0afd684,WEBSITE,https://www.nurcolighting.com/?fbclid=PAZXh0bgNhZW0CMTEAAaYfAh4qNoqpdAhN8f620C6KRKMU9q0Qt7KbUZxJme0uasSoC1Up9RGR6WY_aem_5CMBNGno22LJLdUcLlKCxw,Website,List,298,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_dba9a0afd684,INSTAGRAM,https://www.instagram.com/nurcolighting/?hl=en,Instagram,List,298,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3c3649fedf02,INSTAGRAM,https://www.instagram.com/nusasarana/,Instagram,List,299,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f1d54f0338b4,WEBSITE,https://en.olo-home.com/,Website,List,301,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a26c1b056381,WEBSITE,https://omahbata.com/,Website,List,302,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a26c1b056381,INSTAGRAM,https://www.instagram.com/omahbata/?hl=en,Instagram,List,302,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a26c1b056381,CATALOG,https://drive.google.com/drive/folders/1Gh-gl9ZuWb_btwPFdW7HfNdioFyw9KZL?usp=drive_link,Drive/folder katalog,List,302,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d00b170da08b,WEBSITE,https://www.onassis-hardware.com/,Website,List,303,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d00b170da08b,INSTAGRAM,https://www.instagram.com/onassis.official/,Instagram,List,303,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d00b170da08b,CATALOG,https://drive.google.com/drive/folders/1SyIVJiLjNIOH-2oTwIlu4i2P3-NNeE7U?usp=sharing,Drive/folder katalog,List,303,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d2d0390e7f27,WEBSITE,https://www.onna.co.id/?fbclid=PAZXh0bgNhZW0CMTEAAacahAaVMTj8CFHsYB2515MFd3uN19E8N4Qy4KIvGODx9MwwrzUm0tnBTjr5IQ_aem__bj78BYq4Ao69c5c1MjRxA,Website,List,304,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d2d0390e7f27,INSTAGRAM,https://www.instagram.com/onnaindonesia,Instagram,List,304,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
