vendor_row_id,canonical_brand_name,source_brand_variants,company_name,company_pt,website_url,instagram_url,address,action,matched_existing_hint,source_sheet,source_rows,source_checksum
v0040,Bell Living Lab,Bell Living Lab,,PT Kurva Lonceng Khatulistiwa,https://belllivinglab.com/,https://www.instagram.com/bell_livinglab/,Bandung,INSERT_NEW,,List,52,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0041,Ben Wood,Ben Wood,,PT Rumah Kayu Kita,,https://www.instagram.com/benwood_solidwoodproducts/,Jakarta,INSERT_NEW,,List,53,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0042,Beninca,Beninca,,PT Lautan Cipta Kreasi,https://lautanciptakreasi.co.id/,https://www.instagram.com/lautanciptakreasi?igshid=MzRlODBiNWFlZA%3D%3D,Jakarta,INSERT_NEW,,List,54,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0043,Beta Living,Beta Living,,,,https://www.instagram.com/betalivingconcept/,Jakarta,INSERT_NEW,,List,55,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0044,Beyond Floor,Beyond Floor,,,https://berkatdecor.com/?s=beyond+floor&post_type=product,,Jakarta,INSERT_NEW,,List,56,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0045,Bianconero Compressa,Bianconero Compressa,,,https://bianconero.co.id/,https://www.instagram.com/bianconero.compressa/,Jakarta,INSERT_NEW,,List,57,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0046,Bilionite,Bilionite,,PT Gunung Putri Anugrahisa,https://www.bilionite.co.id/,https://www.instagram.com/bilionite/?hl=en,Jakarta,INSERT_NEW,,List,58,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0047,Biruindonesia,Biruindonesia,,,https://biruindonesia.com/,,Jakarta,INSERT_NEW,,List,59,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0048,Blackwood,Blackwood,,,https://www.blackwood.id/,https://www.instagram.com/blackwood.co.id/?hl=en,"Jakarta, Surabaya",INSERT_NEW,,List,60,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0049,Blue Scope,Blue Scope,,,,https://www.instagram.com/ssbb.id/,Jakarta,INSERT_NEW,,List,61,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0050,BODAQ by Hyundai L&C,BODAQ by Hyundai L&C,,,,https://www.instagram.com/bodaq.id/,Jakarta,INSERT_NEW,,List,62,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0051,Bottega Artisan,Bottega Artisan,,PT Berkat Artisan Indonesia,www.bottegaartisan.com,https://www.instagram.com/bottegaartisan?igsh=MWdqZTRsbXc4dG5weA==,Tangerang,INSERT_NEW,,List,63,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
